employee_id,home_area,area_type,latitude,longitude,nearest_station,nearest_station_area,nearest_station_mode,nearest_station_lines,station_connectivity_score,home_to_work_km,home_to_station_m,station_access_category,destination_station_to_work_m,number_of_transfers,estimated_wait_time_min,origin_walk_time_min,transit_time_min,transfer_time_min,destination_walk_time_min,base_commute_time_min,delay_buffer_min,risk_adjusted_commute_time_min,base_commute_group,risk_adjusted_commute_group,delay_impact,crosses_45_min_after_delay,commute_time_score,station_access_score,transfer_score,reliability_score,adoption_score,adoption_potential
EMP0011,Hamburg-Eimsbuettel,urban,53.595705,9.92775,Kellinghusenstrasse,Hamburg-Eppendorf,U-Bahn,"U1, U3",0.9,12.37,4197.0,Poor,884.0,0,5.0,52.5,29.4,0,11.1,98.0,15,113.0,60+ min,60+ min,No impact,False,8,4,20,20,52,Medium
EMP0012,Elmshorn,outer_suburban,53.786794,9.650143,Elmshorn,Elmshorn,Regional,RE,0.7,23.94,3651.0,Poor,884.0,2,9.0,45.6,31.3,14,11.1,111.0,15,126.0,60+ min,60+ min,No impact,False,8,4,8,20,40,Low
EMP0013,Pinneberg,suburban,53.647052,9.767232,Pinneberg,Pinneberg,S-Bahn / Regional,"S3, RE",0.8,15.55,2109.0,Poor,884.0,1,7.0,26.4,19.4,7,11.1,70.8,15,85.8,60+ min,60+ min,No impact,False,8,4,14,20,46,Medium
EMP0014,Ahrensburg,suburban,53.698216,10.226591,Ahrensburg,Ahrensburg,Regional,RE,0.75,15.93,2708.0,Poor,884.0,1,8.0,33.8,22.7,7,11.1,82.6,15,97.6,60+ min,60+ min,No impact,False,8,4,14,20,46,Medium
EMP0015,Hamburg-Wandsbek,urban,53.581237,10.035248,Barmbek,Hamburg-Barmbek,U-Bahn / S-Bahn,"U3, S1",0.9,13.8,863.0,Good,884.0,1,5.0,10.8,27.4,7,11.1,61.2,15,76.2,60+ min,60+ min,No impact,False,8,18,14,20,60,Medium
EMP0016,Hamburg-City,urban,53.522804,9.974211,Jungfernstieg,Hamburg-City,U-Bahn / S-Bahn,"U1, U2, U4, S1, S3",0.95,19.9,3500.0,Poor,884.0,0,4.0,43.7,34.2,0,11.1,93.0,15,108.0,60+ min,60+ min,No impact,False,8,4,20,20,52,Medium
EMP0017,Hamburg-Barmbek,urban,53.559016,10.041161,Wandsbek Markt,Hamburg-Wandsbek,U-Bahn / Bus,"U1, Bus",0.85,16.3,2235.0,Poor,884.0,0,6.0,27.9,35.1,0,11.1,80.1,15,95.1,60+ min,60+ min,No impact,False,8,4,20,20,52,Medium
EMP0018,Norderstedt,near_workplace,53.681659,10.018781,Ochsenzoll,Hamburg-Langenhorn,U-Bahn,U1,0.8,3.17,1281.0,Acceptable,884.0,0,7.0,16.0,7.7,0,11.1,41.8,15,56.8,31-45 min,46-60 min,Minor impact,True,28,10,20,10,68,High
EMP0019,Ahrensburg,suburban,53.660799,10.276565,Ahrensburg,Ahrensburg,Regional,RE,0.75,19.76,2936.0,Poor,884.0,1,8.0,36.7,22.7,7,11.1,85.4,15,100.4,60+ min,60+ min,No impact,False,8,4,14,20,46,Medium
EMP0020,Hamburg-Harburg,outer_urban,53.445143,9.992871,Harburg,Hamburg-Harburg,S-Bahn / Regional,"S3, S5, RE",0.9,28.53,1214.0,Acceptable,884.0,2,5.0,15.2,38.2,14,11.1,83.4,15,98.4,60+ min,60+ min,No impact,False,8,10,8,20,46,Medium
EMP0021,Quickborn,suburban,53.753686,9.929119,Quickborn,Quickborn,AKN,A1,0.7,6.84,3015.0,Poor,884.0,1,9.0,37.7,11.4,7,11.1,76.1,15,91.1,60+ min,60+ min,No impact,False,8,4,14,20,46,Medium
EMP0022,Hamburg-Eimsbuettel,urban,53.560039,9.920661,Altona,Hamburg-Altona,S-Bahn / Regional,"S1, S2, S3, RE",0.95,16.31,1302.0,Acceptable,884.0,1,4.0,16.3,24.2,7,11.1,62.6,15,77.6,60+ min,60+ min,No impact,False,8,10,14,20,52,Medium
EMP0023,Bad Oldesloe,regional,53.833988,10.37886,Bad Oldesloe,Bad Oldesloe,Regional,RE,0.65,29.8,2576.0,Poor,884.0,2,10.0,32.2,37.6,14,11.1,104.8,15,119.8,60+ min,60+ min,No impact,False,8,4,8,20,40,Low
EMP0024,Kaltenkirchen,outer_suburban,53.849798,10.025751,Kaltenkirchen,Kaltenkirchen,AKN,A1,0.65,16.69,4418.0,Poor,884.0,1,10.0,55.2,25.9,7,11.1,109.1,15,124.1,60+ min,60+ min,No impact,False,8,4,14,20,46,Medium
EMP0025,Quickborn,suburban,53.740463,9.878766,Quickborn,Quickborn,AKN,A1,0.7,8.19,1965.0,Poor,884.0,1,9.0,24.6,11.4,7,11.1,63.0,15,78.0,60+ min,60+ min,No impact,False,8,4,14,20,46,Medium
EMP0026,Hamburg-City,urban,53.544703,9.974726,Jungfernstieg,Hamburg-City,U-Bahn / S-Bahn,"U1, U2, U4, S1, S3",0.95,17.47,1510.0,Poor,884.0,0,4.0,18.9,34.2,0,11.1,68.2,15,83.2,60+ min,60+ min,No impact,False,8,4,20,20,52,Medium
EMP0027,Hamburg-Wandsbek,urban,53.58066,10.111202,Wandsbek Markt,Hamburg-Wandsbek,U-Bahn / Bus,"U1, Bus",0.85,15.84,3073.0,Poor,884.0,0,6.0,38.4,35.1,0,11.1,90.5,15,105.5,60+ min,60+ min,No impact,False,8,4,20,20,52,Medium
EMP0028,Norderstedt,near_workplace,53.700812,10.043904,Richtweg,Norderstedt,U-Bahn,U1,0.85,3.91,3284.0,Poor,884.0,0,6.0,41.0,3.2,0,11.1,61.3,15,76.3,60+ min,60+ min,No impact,False,8,4,20,20,52,Medium
EMP0029,Norderstedt,near_workplace,53.72071,9.980367,Norderstedt Mitte,Norderstedt,U-Bahn / AKN,"U1, A2",0.95,2.13,1633.0,Poor,884.0,0,4.0,20.4,0.0,0,11.1,35.5,15,50.5,31-45 min,46-60 min,Minor impact,True,28,4,20,10,62,Medium
EMP0030,Pinneberg,suburban,53.626227,9.784028,Pinneberg,Pinneberg,S-Bahn / Regional,"S3, RE",0.8,15.65,3204.0,Poor,884.0,1,7.0,40.1,19.4,7,11.1,84.5,15,99.5,60+ min,60+ min,No impact,False,8,4,14,20,46,Medium
EMP0031,Quickborn,suburban,53.755924,9.888131,Quickborn,Quickborn,AKN,A1,0.7,8.75,2961.0,Poor,884.0,1,9.0,37.0,11.4,7,11.1,75.5,15,90.5,60+ min,60+ min,No impact,False,8,4,14,20,46,Medium
EMP0032,Bad Oldesloe,regional,53.809971,10.428274,Bad Oldesloe,Bad Oldesloe,Regional,RE,0.65,31.55,3565.0,Poor,884.0,2,10.0,44.6,37.6,14,11.1,117.2,15,132.2,60+ min,60+ min,No impact,False,8,4,8,20,40,Low
EMP0033,Hamburg-Altona,urban,53.534741,9.989144,Jungfernstieg,Hamburg-City,U-Bahn / S-Bahn,"U1, U2, U4, S1, S3",0.95,18.57,1946.0,Poor,884.0,0,4.0,24.3,34.2,0,11.1,73.6,15,88.6,60+ min,60+ min,No impact,False,8,4,20,20,52,Medium
EMP0034,Hamburg-Eimsbuettel,urban,53.553312,9.982414,Jungfernstieg,Hamburg-City,U-Bahn / S-Bahn,"U1, U2, U4, S1, S3",0.95,16.5,779.0,Good,884.0,0,4.0,9.7,34.2,0,11.1,59.0,15,74.0,46-60 min,60+ min,Minor impact,False,18,18,20,10,66,High
EMP0035,Hamburg-Wandsbek,urban,53.611488,10.090279,Ohlsdorf,Hamburg-Ohlsdorf,U-Bahn / S-Bahn,"U1, S1",0.95,12.21,4051.0,Poor,884.0,0,4.0,50.6,19.7,0,11.1,85.4,15,100.4,60+ min,60+ min,No impact,False,8,4,20,20,52,Medium
EMP0036,Hamburg-City,urban,53.571019,9.960218,Dammtor,Hamburg-City,S-Bahn / Regional,"S-Bahn, RE",0.9,14.62,2226.0,Poor,884.0,1,5.0,27.8,22.3,7,11.1,73.2,15,88.2,60+ min,60+ min,No impact,False,8,4,14,20,46,Medium
EMP0037,Norderstedt,near_workplace,53.674278,10.015319,Ochsenzoll,Hamburg-Langenhorn,U-Bahn,U1,0.8,3.66,991.0,Good,884.0,0,7.0,12.4,7.7,0,11.1,38.1,15,53.1,31-45 min,46-60 min,Minor impact,True,28,18,20,10,76,High
EMP0038,Hamburg-Wandsbek,urban,53.598842,10.049099,Barmbek,Hamburg-Barmbek,U-Bahn / S-Bahn,"U3, S1",0.9,12.2,1359.0,Acceptable,884.0,1,5.0,17.0,27.4,7,11.1,67.4,15,82.4,60+ min,60+ min,No impact,False,8,10,14,20,52,Medium
EMP0039,Hamburg-City,urban,53.526861,9.981972,Jungfernstieg,Hamburg-City,U-Bahn / S-Bahn,"U1, U2, U4, S1, S3",0.95,19.44,2906.0,Poor,884.0,0,4.0,36.3,34.2,0,11.1,85.6,15,100.6,60+ min,60+ min,No impact,False,8,4,20,20,52,Medium
EMP0040,Pinneberg,suburban,53.643197,9.769802,Pinneberg,Pinneberg,S-Bahn / Regional,"S3, RE",0.8,15.57,2158.0,Poor,884.0,1,7.0,27.0,19.4,7,11.1,71.4,15,86.4,60+ min,60+ min,No impact,False,8,4,14,20,46,Medium
EMP0041,Hamburg-Wandsbek,urban,53.584867,10.155741,Wandsbek Markt,Hamburg-Wandsbek,U-Bahn / Bus,"U1, Bus",0.85,17.21,6031.0,Poor,884.0,0,6.0,75.4,35.1,0,11.1,127.5,15,142.5,60+ min,60+ min,No impact,False,8,4,20,20,52,Medium
EMP0042,Henstedt-Ulzburg,outer_suburban,53.827724,9.951769,Kaltenkirchen,Kaltenkirchen,AKN,A1,0.65,14.18,1231.0,Acceptable,884.0,1,10.0,15.4,25.9,7,11.1,69.3,15,84.3,60+ min,60+ min,No impact,False,8,10,14,20,52,Medium
EMP0043,Pinneberg,suburban,53.693664,9.790939,Pinneberg,Pinneberg,S-Bahn / Regional,"S3, RE",0.8,12.78,4428.0,Poor,884.0,1,7.0,55.4,19.4,7,11.1,99.8,15,114.8,60+ min,60+ min,No impact,False,8,4,14,20,46,Medium
EMP0044,Hamburg-Altona,urban,53.552896,9.882257,Altona,Hamburg-Altona,S-Bahn / Regional,"S1, S2, S3, RE",0.95,17.87,3486.0,Poor,884.0,1,4.0,43.6,24.2,7,11.1,89.8,15,104.8,60+ min,60+ min,No impact,False,8,4,14,20,46,Medium
EMP0045,Henstedt-Ulzburg,outer_suburban,53.760793,9.990262,Henstedt-Ulzburg,Henstedt-Ulzburg,AKN,"A1, A2",0.7,6.58,3293.0,Poor,884.0,1,9.0,41.2,16.3,7,11.1,84.5,15,99.5,60+ min,60+ min,No impact,False,8,4,14,20,46,Medium
EMP0046,Ahrensburg,suburban,53.676998,10.294853,Ahrensburg,Ahrensburg,Regional,RE,0.75,20.61,3686.0,Poor,884.0,1,8.0,46.1,22.7,7,11.1,94.8,15,109.8,60+ min,60+ min,No impact,False,8,4,14,20,46,Medium
EMP0047,Hamburg-Eimsbuettel,urban,53.570485,9.982644,Dammtor,Hamburg-City,S-Bahn / Regional,"S-Bahn, RE",0.9,14.59,1161.0,Acceptable,884.0,1,5.0,14.5,22.3,7,11.1,59.9,15,74.9,46-60 min,60+ min,Minor impact,False,18,10,14,10,52,Medium
EMP0048,Hamburg-Altona,urban,53.530211,9.915029,Altona,Hamburg-Altona,S-Bahn / Regional,"S1, S2, S3, RE",0.95,19.61,2759.0,Poor,884.0,1,4.0,34.5,24.2,7,11.1,80.8,15,95.8,60+ min,60+ min,No impact,False,8,4,14,20,46,Medium
EMP0049,Pinneberg,suburban,53.666121,9.859622,Pinneberg,Pinneberg,S-Bahn / Regional,"S3, RE",0.8,9.13,4341.0,Poor,884.0,1,7.0,54.3,19.4,7,11.1,98.7,15,113.7,60+ min,60+ min,No impact,False,8,4,14,20,46,Medium
EMP0050,Norderstedt,near_workplace,53.716447,9.975847,Norderstedt Mitte,Norderstedt,U-Bahn / AKN,"U1, A2",0.95,1.74,1458.0,Acceptable,884.0,0,4.0,18.2,0.0,0,11.1,33.3,15,48.3,31-45 min,46-60 min,Minor impact,True,28,10,20,10,68,High
EMP0051,Hamburg-City,urban,53.571969,9.995358,Dammtor,Hamburg-City,S-Bahn / Regional,"S-Bahn, RE",0.9,14.44,1307.0,Acceptable,884.0,1,5.0,16.3,22.3,7,11.1,61.7,15,76.7,60+ min,60+ min,No impact,False,8,10,14,20,52,Medium
EMP0052,Norderstedt,near_workplace,53.716709,9.941696,Quickborn,Quickborn,AKN,A1,0.7,3.28,2946.0,Poor,884.0,1,9.0,36.8,11.4,7,11.1,75.3,15,90.3,60+ min,60+ min,No impact,False,8,4,14,20,46,Medium
EMP0053,Ahrensburg,suburban,53.698027,10.285997,Ahrensburg,Ahrensburg,Regional,RE,0.75,19.84,4017.0,Poor,884.0,1,8.0,50.2,22.7,7,11.1,98.9,15,113.9,60+ min,60+ min,No impact,False,8,4,14,20,46,Medium
EMP0054,Pinneberg,suburban,53.677918,9.827397,Pinneberg,Pinneberg,S-Bahn / Regional,"S3, RE",0.8,10.68,3329.0,Poor,884.0,1,7.0,41.6,19.4,7,11.1,86.1,15,101.1,60+ min,60+ min,No impact,False,8,4,14,20,46,Medium
EMP0055,Pinneberg,suburban,53.676791,9.798738,Pinneberg,Pinneberg,S-Bahn / Regional,"S3, RE",0.8,12.55,2537.0,Poor,884.0,1,7.0,31.7,19.4,7,11.1,76.2,15,91.2,60+ min,60+ min,No impact,False,8,4,14,20,46,Medium
EMP0056,Ahrensburg,suburban,53.689959,10.276642,Ahrensburg,Ahrensburg,Regional,RE,0.75,19.27,2985.0,Poor,884.0,1,8.0,37.3,22.7,7,11.1,86.0,15,101.0,60+ min,60+ min,No impact,False,8,4,14,20,46,Medium
EMP0057,Hamburg-Wandsbek,urban,53.551522,10.033242,Hamburg Hbf,Hamburg-City,U-Bahn / S-Bahn / Regional,"U1, U2, U3, U4, S-Bahn, RE",1.0,17.0,1758.0,Poor,884.0,0,3.0,22.0,23.6,0,11.1,59.6,15,74.6,46-60 min,60+ min,Minor impact,False,18,4,20,10,52,Medium
EMP0058,Hamburg-Barmbek,urban,53.597261,10.042315,Barmbek,Hamburg-Barmbek,U-Bahn / S-Bahn,"U3, S1",0.9,12.22,1146.0,Acceptable,884.0,1,5.0,14.3,27.4,7,11.1,64.8,15,79.8,60+ min,60+ min,No impact,False,8,10,14,20,52,Medium
EMP0059,Norderstedt,near_workplace,53.727735,10.036276,Norderstedt Mitte,Norderstedt,U-Bahn / AKN,"U1, A2",0.95,4.47,3605.0,Poor,884.0,0,4.0,45.1,0.0,0,11.1,60.1,15,75.1,60+ min,60+ min,No impact,False,8,4,20,20,52,Medium
EMP0060,Norderstedt,near_workplace,53.702618,10.051788,Richtweg,Norderstedt,U-Bahn,U1,0.85,4.42,3833.0,Poor,884.0,0,6.0,47.9,3.2,0,11.1,68.2,15,83.2,60+ min,60+ min,No impact,False,8,4,20,20,52,Medium
EMP0061,Pinneberg,suburban,53.651985,9.779421,Pinneberg,Pinneberg,S-Bahn / Regional,"S3, RE",0.8,14.6,1180.0,Acceptable,884.0,1,7.0,14.7,19.4,7,11.1,59.2,15,74.2,46-60 min,60+ min,Minor impact,False,18,10,14,10,52,Medium
EMP0062,Hamburg-Wandsbek,urban,53.592675,10.055624,Barmbek,Hamburg-Barmbek,U-Bahn / S-Bahn,"U3, S1",0.9,13.0,993.0,Good,884.0,1,5.0,12.4,27.4,7,11.1,62.8,15,77.8,60+ min,60+ min,No impact,False,8,18,14,20,60,Medium
EMP0063,Hamburg-Barmbek,urban,53.568224,10.062253,Wandsbek Markt,Hamburg-Wandsbek,U-Bahn / Bus,"U1, Bus",0.85,15.7,524.0,Good,884.0,0,6.0,6.5,35.1,0,11.1,58.7,15,73.7,46-60 min,60+ min,Minor impact,False,18,18,20,10,66,High
EMP0064,Quickborn,suburban,53.69915,9.901757,Quickborn,Quickborn,AKN,A1,0.7,5.46,3545.0,Poor,884.0,1,9.0,44.3,11.4,7,11.1,82.8,15,97.8,60+ min,60+ min,No impact,False,8,4,14,20,46,Medium
EMP0065,Hamburg-Harburg,outer_urban,53.434245,9.921297,Harburg,Hamburg-Harburg,S-Bahn / Regional,"S3, S5, RE",0.9,30.03,5212.0,Poor,884.0,2,5.0,65.1,38.2,14,11.1,133.4,15,148.4,60+ min,60+ min,No impact,False,8,4,8,20,40,Low
EMP0066,Hamburg-Barmbek,urban,53.61166,10.043861,Ohlsdorf,Hamburg-Ohlsdorf,U-Bahn / S-Bahn,"U1, S1",0.95,10.75,1341.0,Acceptable,884.0,0,4.0,16.8,19.7,0,11.1,51.5,15,66.5,46-60 min,60+ min,Minor impact,False,18,10,20,10,58,Medium
EMP0067,Hamburg-Barmbek,urban,53.61123,10.06952,Ohlsdorf,Hamburg-Ohlsdorf,U-Bahn / S-Bahn,"U1, S1",0.95,11.51,2763.0,Poor,884.0,0,4.0,34.5,19.7,0,11.1,69.3,15,84.3,60+ min,60+ min,No impact,False,8,4,20,20,52,Medium
EMP0068,Hamburg-Altona,urban,53.570114,9.93,Altona,Hamburg-Altona,S-Bahn / Regional,"S1, S2, S3, RE",0.95,15.07,2041.0,Poor,884.0,1,4.0,25.5,24.2,7,11.1,71.8,15,86.8,60+ min,60+ min,No impact,False,8,4,14,20,46,Medium
EMP0069,Norderstedt,near_workplace,53.684208,10.004576,Garstedt,Norderstedt,U-Bahn,U1,0.85,2.35,709.0,Good,884.0,0,6.0,8.9,6.1,0,11.1,32.1,15,47.1,31-45 min,46-60 min,Minor impact,True,28,18,20,10,76,High
EMP0070,Hamburg-Wandsbek,urban,53.618322,10.103052,Ohlsdorf,Hamburg-Ohlsdorf,U-Bahn / S-Bahn,"U1, S1",0.95,12.12,4761.0,Poor,884.0,0,4.0,59.5,19.7,0,11.1,94.3,15,109.3,60+ min,60+ min,No impact,False,8,4,20,20,52,Medium
EMP0071,Hamburg-City,urban,53.531765,10.036573,Hamburg Hbf,Hamburg-City,U-Bahn / S-Bahn / Regional,"U1, U2, U3, U4, S-Bahn, RE",1.0,19.2,3052.0,Poor,884.0,0,3.0,38.2,23.6,0,11.1,75.8,15,90.8,60+ min,60+ min,No impact,False,8,4,20,20,52,Medium
EMP0072,Hamburg-Eimsbuettel,urban,53.588498,9.914642,Altona,Hamburg-Altona,S-Bahn / Regional,"S1, S2, S3, RE",0.95,13.41,4275.0,Poor,884.0,1,4.0,53.4,24.2,7,11.1,99.7,15,114.7,60+ min,60+ min,No impact,False,8,4,14,20,46,Medium
EMP0073,Henstedt-Ulzburg,outer_suburban,53.768879,10.00562,Henstedt-Ulzburg,Henstedt-Ulzburg,AKN,"A1, A2",0.7,7.6,2815.0,Poor,884.0,1,9.0,35.2,16.3,7,11.1,78.6,15,93.6,60+ min,60+ min,No impact,False,8,4,14,20,46,Medium
EMP0074,Hamburg-City,urban,53.550861,9.939402,Altona,Hamburg-Altona,S-Bahn / Regional,"S1, S2, S3, RE",0.95,17.04,317.0,Excellent,884.0,1,4.0,4.0,24.2,7,11.1,50.2,15,65.2,46-60 min,60+ min,Minor impact,False,18,25,14,10,67,High
EMP0075,Norderstedt,near_workplace,53.672997,9.998159,Ochsenzoll,Hamburg-Langenhorn,U-Bahn,U1,0.8,3.31,483.0,Excellent,884.0,0,7.0,6.0,7.7,0,11.1,31.8,15,46.8,31-45 min,46-60 min,Minor impact,True,28,25,20,10,83,Very High
EMP0076,Hamburg-Altona,urban,53.570891,9.979695,Dammtor,Hamburg-City,S-Bahn / Regional,"S-Bahn, RE",0.9,14.55,1286.0,Acceptable,884.0,1,5.0,16.1,22.3,7,11.1,61.4,15,76.4,60+ min,60+ min,No impact,False,8,10,14,20,52,Medium
EMP0077,Hamburg-Altona,urban,53.561623,9.948493,Altona,Hamburg-Altona,S-Bahn / Regional,"S1, S2, S3, RE",0.95,15.76,1393.0,Acceptable,884.0,1,4.0,17.4,24.2,7,11.1,63.7,15,78.7,60+ min,60+ min,No impact,False,8,10,14,20,52,Medium
EMP0078,Pinneberg,suburban,53.648703,9.795249,Pinneberg,Pinneberg,S-Bahn / Regional,"S3, RE",0.8,13.79,600.0,Good,884.0,1,7.0,7.5,19.4,7,11.1,52.0,15,67.0,46-60 min,60+ min,Minor impact,False,18,18,14,10,60,Medium
EMP0079,Hamburg-Barmbek,urban,53.589679,10.044394,Barmbek,Hamburg-Barmbek,U-Bahn / S-Bahn,"U3, S1",0.9,13.06,299.0,Excellent,884.0,1,5.0,3.7,27.4,7,11.1,54.2,15,69.2,46-60 min,60+ min,Minor impact,False,18,25,14,10,67,High
EMP0080,Ahrensburg,suburban,53.642138,10.263464,Ahrensburg,Ahrensburg,Regional,RE,0.75,19.53,3994.0,Poor,884.0,1,8.0,49.9,22.7,7,11.1,98.6,15,113.6,60+ min,60+ min,No impact,False,8,4,14,20,46,Medium
EMP0081,Pinneberg,suburban,53.69096,9.810998,Pinneberg,Pinneberg,S-Bahn / Regional,"S3, RE",0.8,11.49,4212.0,Poor,884.0,1,7.0,52.6,19.4,7,11.1,97.1,15,112.1,60+ min,60+ min,No impact,False,8,4,14,20,46,Medium
EMP0082,Hamburg-Eimsbuettel,urban,53.580132,9.936992,Altona,Hamburg-Altona,S-Bahn / Regional,"S1, S2, S3, RE",0.95,13.88,3131.0,Poor,884.0,1,4.0,39.1,24.2,7,11.1,85.4,15,100.4,60+ min,60+ min,No impact,False,8,4,14,20,46,Medium
EMP0083,Ahrensburg,suburban,53.697704,10.290625,Ahrensburg,Ahrensburg,Regional,RE,0.75,20.15,4234.0,Poor,884.0,1,8.0,52.9,22.7,7,11.1,101.6,15,116.6,60+ min,60+ min,No impact,False,8,4,14,20,46,Medium
EMP0084,Hamburg-City,urban,53.562832,9.953789,Altona,Hamburg-Altona,S-Bahn / Regional,"S1, S2, S3, RE",0.95,15.57,1729.0,Poor,884.0,1,4.0,21.6,24.2,7,11.1,67.9,15,82.9,60+ min,60+ min,No impact,False,8,4,14,20,46,Medium
EMP0085,Norderstedt,near_workplace,53.711623,9.978184,Norderstedt Mitte,Norderstedt,U-Bahn / AKN,"U1, A2",0.95,1.18,1043.0,Acceptable,884.0,0,4.0,13.0,0.0,0,11.1,28.1,15,43.1,0-30 min,31-45 min,Minor impact,False,35,10,20,10,75,High
EMP0086,Norderstedt,near_workplace,53.682604,10.027185,Ochsenzoll,Hamburg-Langenhorn,U-Bahn,U1,0.8,3.52,1834.0,Poor,884.0,0,7.0,22.9,7.7,0,11.1,48.7,15,63.7,46-60 min,60+ min,Minor impact,False,18,4,20,10,52,Medium
EMP0087,Quickborn,suburban,53.727537,9.954776,Norderstedt Mitte,Norderstedt,U-Bahn / AKN,"U1, A2",0.95,3.48,3314.0,Poor,884.0,0,4.0,41.4,0.0,0,11.1,56.5,15,71.5,46-60 min,60+ min,Minor impact,False,18,4,20,10,52,Medium
EMP0088,Hamburg-Wandsbek,urban,53.544296,10.081575,Wandsbek Markt,Hamburg-Wandsbek,U-Bahn / Bus,"U1, Bus",0.85,18.63,3227.0,Poor,884.0,0,6.0,40.3,35.1,0,11.1,92.5,15,107.5,60+ min,60+ min,No impact,False,8,4,20,20,52,Medium
EMP0089,Hamburg-City,urban,53.529778,10.001798,Jungfernstieg,Hamburg-City,U-Bahn / S-Bahn,"U1, U2, U4, S1, S3",0.95,19.15,2524.0,Poor,884.0,0,4.0,31.6,34.2,0,11.1,80.8,15,95.8,60+ min,60+ min,No impact,False,8,4,20,20,52,Medium
EMP0090,Hamburg-Wandsbek,urban,53.587256,10.11729,Wandsbek Markt,Hamburg-Wandsbek,U-Bahn / Bus,"U1, Bus",0.85,15.44,3728.0,Poor,884.0,0,6.0,46.6,35.1,0,11.1,98.7,15,113.7,60+ min,60+ min,No impact,False,8,4,20,20,52,Medium
EMP0091,Norderstedt,near_workplace,53.707116,9.974007,Norderstedt Mitte,Norderstedt,U-Bahn / AKN,"U1, A2",0.95,0.92,1241.0,Acceptable,884.0,0,4.0,15.5,0.0,0,11.1,30.6,15,45.6,31-45 min,46-60 min,Minor impact,True,28,10,20,10,68,High
EMP0092,Pinneberg,suburban,53.673598,9.813774,Pinneberg,Pinneberg,S-Bahn / Regional,"S3, RE",0.8,11.67,2443.0,Poor,884.0,1,7.0,30.5,19.4,7,11.1,75.0,15,90.0,60+ min,60+ min,No impact,False,8,4,14,20,46,Medium
